name,unit,amount,category,source_external_id,is_canonical,calories,fat,protein,carbs,fiber,sugar,sodium,calcium,iron,magnesium,potassium,phosphorus,cholesterol,trans_fat,saturated_fat,water,omega3,omega6,zinc,vitamin_c,glycemic_load,kcal_per_g,burn_run_10kph_min_per_g,burn_walk_7kph_min_per_g,burn_cycle_15kph_min_per_g,burn_swim_crawl_min_per_g,burn_hike_min_per_g,burn_aerobics_min_per_g,nutrient_source,nutrient_source_ref,nutrient_match_score,data_quality_status,data_quality_flags
آب هویج,لیوان,1,نوشیدنی,31030,false,97.5,0.5,2.5,22.5,2,11.053,158.4,57.6,1.0473,33.5741,700.8,100.8,,,,213.288,0.0216,0.1464,0.432,20.4,,0.40625,0.03384,0.062572,0.057178,0.039956,0.047376,0.04877,merged,FoodID:31030|آب هویج Carrot juice,1,verified,
آب هویج,لیوان (240 گرم),1,نوشیدنی,31030,false,93.6,0.48,2.4,22.32,3.6806,9.36,158.4,57.6,1.0473,33.5741,700.8,100.8,,,,213.288,0.0216,0.1464,0.432,20.4,,0.39,0.032486,0.060069,0.054891,0.038358,0.045481,0.046819,merged,FoodID:31030|آب هویج Carrot juice,1,verified,
آب هویج,میلی‌لیتر (1 گرم),1,نوشیدنی,31030,false,0.39,0,0.01,0.09,0.0153,0.04,0.66,0.24,0.0044,0.1399,2.92,0.42,,,,0.8887,0.0001,0.0006,0.0018,0.085,,0.39,0.032486,0.060069,0.054891,0.038358,0.045481,0.046819,merged,FoodID:31030|آب هویج Carrot juice,1,verified,
آب هویج,گرم,100,نوشیدنی,31030,true,39,0.2,1,9.15,0.8,3.9,66,24,0.4364,13.9892,292,42,,,,88.87,0.009,0.061,0.18,8.5,,0.39,0.032486,0.060069,0.054891,0.038358,0.045481,0.046819,merged,FoodID:31030|آب هویج Carrot juice,1,verified,
آب هویج و پرتقال,گرم,100,نوشیدنی,31010,true,43,0.1,0.5,10,0.4,8.4,1,11,0.198,10.9973,200,17,,,,88.3,0.011,0.029,0.05,50,4.8,0.43,0.035818,0.06623,0.060521,0.042292,0.050146,0.051621,merged,FoodID:31010|آب پرتقال Orange juice,0.9,verified,
آب هویج و کرفس,گرم,100,نوشیدنی,31030,true,26,0.1,0.7,6,0.8,2.7,66,24,0.4364,13.9892,292,42,,,,88.87,0.009,0.061,0.18,8.5,,0.26,0.021658,0.040046,0.036594,0.025572,0.030321,0.031212,merged,FoodID:31030|آب هویج Carrot juice,0.9,verified,
آب پای مرغ,قاشق غذاخوری,1,شیرینی و دسر,,false,6,0.21,0.42,0.6,0.15,,,,,,,,,,,,,,,,,0.4,0.033319,0.06161,0.056298,0.039341,0.046647,0.048019,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پای مرغ,لیوان,1,شیرینی و دسر,,false,96,3.36,6.72,9.6,2.4,,,,,,,,,,,,,,,,,0.4,0.033319,0.06161,0.056298,0.039341,0.046647,0.048019,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پای مرغ,گرم,100,شیرینی و دسر,,true,40,1.4,2.8,4,1,,,,,,,,,,,,,,,,,0.4,0.033319,0.06161,0.056298,0.039341,0.046647,0.048019,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پرتقال,گرم,100,نوشیدنی,31010,true,45,0.2,0.7,10,0.2,8,1,11,0.198,10.9973,200,17,,,,88.3,0.011,0.029,0.05,50,4.8,0.45,0.037484,0.069311,0.063336,0.044259,0.052478,0.054022,merged,FoodID:31010|آب پرتقال Orange juice,1,verified,
آب پرتقال تازه,لیوان,1,نوشیدنی,31010,false,111.6,0.5,1.74,24.8,0.5,20.7965,2.4,26.4,0.4751,26.3935,480,40.8,,,,211.92,0.0264,0.0696,0.12,120,4.8,0.465,0.038734,0.071621,0.065447,0.045734,0.054227,0.055822,merged,FoodID:31010|آب پرتقال Orange juice,0.9,verified,
آب پرتقال تازه,گرم,100,نوشیدنی,31010,true,45,0.2,0.7,10,0.2,8.6652,1,11,0.198,10.9973,200,17,,,,88.3,0.011,0.029,0.05,50,4.8,0.45,0.037484,0.069311,0.063336,0.044259,0.052478,0.054022,merged,FoodID:31010|آب پرتقال Orange juice,0.9,verified,
آب پرتقال تازه، وزن میوه کامل,عدد,1,نوشیدنی,,false,25.5,0,0.51,6.29,0,,,,,,,,,,,,,,,,,0.51,0.042482,0.078552,0.07178,0.05016,0.059475,0.061224,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پرتقال تازه، وزن میوه کامل,گرم,100,نوشیدنی,,true,15,0,0.3,3.7,0,,,,,,,,,,,,,,,,,0.15,0.012495,0.023104,0.021112,0.014753,0.017493,0.018007,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پرتقال پاکتی,لیوان,1,نوشیدنی,31010,false,103.2,0,1.92,18,1.2,,2.4,26.4,0.4751,26.3935,480,40.8,,,,211.92,0.0264,0.0696,0.12,120,4.8,0.43,0.035818,0.06623,0.060521,0.042292,0.050146,0.051621,merged,FoodID:31010|آب پرتقال Orange juice,0.9,verified,
آب پرتقال پاکتی,پاکت  لیتری,1,نوشیدنی,31010,false,430,0,8,75,5,8.6652,,,,,,,,,,,,,,,4.8,0.43,0.035818,0.06623,0.060521,0.042292,0.050146,0.051621,merged,FoodID:31010|آب پرتقال Orange juice,0.9,verified,
آب پرتقال پاکتی,گرم,100,نوشیدنی,31010,true,43,0,0.8,7.5,0.5,,1,11,0.198,10.9973,200,17,,,,88.3,0.011,0.029,0.05,50,4.8,0.43,0.035818,0.06623,0.060521,0.042292,0.050146,0.051621,merged,FoodID:31010|آب پرتقال Orange juice,0.9,verified,
آب پشن فروت,لیوان,1,نوشیدنی,,false,117.5,0.25,2,26.75,0,,,,,,,,,,,,,,,,,0.489583,0.040782,0.075408,0.068907,0.048152,0.057094,0.058774,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پشن فروت,گرم,100,نوشیدنی,,true,49,0.1,0.6,12.35,0.1,12.35,,,,,,,,,,,,,,,,0.49,0.040816,0.075472,0.068966,0.048193,0.057143,0.058824,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پنیر,لیوان,1,نوشیدنی,,false,59.04,0.25,1.97,12.55,0,,,,,,,,,,,,,,,,,0.246,0.020491,0.03789,0.034624,0.024195,0.028688,0.029532,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پنیر,گرم,100,نوشیدنی,,true,24,0.1,0.8,5.1,0,,,,,,,,,,,,,,,,,0.24,0.019992,0.036966,0.033779,0.023605,0.027988,0.028812,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پنیر خشک (پودر),قاشق غذاخوری,1,نوشیدنی,,false,23.73,0.04,0.82,5.14,0,,,,,,,,,,,,,,,,,1.582,0.131778,0.243666,0.22266,0.155594,0.18449,0.189916,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پنیر خشک (پودر),قاشق چایخوری,1,نوشیدنی,,false,11.87,0.02,0.41,2.57,0,,,,,,,,,,,,,,,,,2.374,0.197751,0.365653,0.334131,0.233489,0.276851,0.284994,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب پنیر خشک (پودر),گرم,100,نوشیدنی,,true,339,0.5,11.7,73.4,0,,,,,,,,,,,,,,,,,3.39,0.282382,0.522141,0.477129,0.333415,0.395335,0.406963,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب چغندر,گرم,100,نوشیدنی,,true,48,0.2,1.7,10,2,4.8,,,,,,,,,,,,,,,,0.48,0.039983,0.073931,0.067558,0.047209,0.055977,0.057623,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب کرفس,لیوان,1,نوشیدنی,,false,70,0,5,20,5,,,,,,,,,,,,,,,,,0.291667,0.024295,0.044924,0.041051,0.028686,0.034014,0.035014,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب کرفس,گرم,100,نوشیدنی,,true,23,0.1,1.4,6,1.8,2.4,,,,,,,,,,,,,,,,0.23,0.019159,0.035425,0.032372,0.022621,0.026822,0.027611,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب کرنبری,گرم,100,نوشیدنی,,true,46,0.1,0.4,12,0.1,12,,,,,,,,,,,,,,,,0.46,0.038317,0.070851,0.064743,0.045242,0.053644,0.055222,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب کله پاچه,قاشق غذاخوری,1,نوشیدنی,,false,20.6,2,0.8,0,0,0,,,,,,,,,,,,,,,,1.373333,0.114397,0.211526,0.193291,0.135071,0.160155,0.164866,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب کله پاچه,ملاقه,1,نوشیدنی,,false,123.6,12,4.8,0,0,0,,,,,,,,,,,,,,,,4.12,0.34319,0.634578,0.579873,0.405213,0.480466,0.494598,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب کله پاچه,گرم,100,نوشیدنی,,true,103,10,4,0,0,0,,,,,,,,,,,,,,,,1.03,0.085798,0.158645,0.144968,0.101303,0.120117,0.123649,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب کیوی,گرم,100,نوشیدنی,,true,39,0.3,0.3,8.2,1.6,4.8,,,,,,,,,,,,,,,,0.39,0.032486,0.060069,0.054891,0.038358,0.045481,0.046819,gymshow,gymshow_foods_nutrition7000.csv,,verified,
آب گازدار,لیوان,1,نوشیدنی,34070,false,0,0,0,0,0,0,28.8,2.4,0.0569,0.0647,0,0,,,,218.64,0,0,0.24,0,0,0,,,,,,,merged,"FoodID:34070|آب گازدار تونیک carbonated, tonic water",0.9,verified,
